geometry
"POLYGON ((-752091.9839130423 -1048003.7012500016, -750615.8452173902 -1048003.7012500016, -750615.8452173902 -1049545.9725000015, -752091.9839130423 -1049545.9725000015, -752091.9839130423 -1048003.7012500016))"
"POLYGON ((-750615.8452173902 -1048003.7012500016, -749139.7065217382 -1048003.7012500016, -749139.7065217382 -1049545.9725000015, -750615.8452173902 -1049545.9725000015, -750615.8452173902 -1048003.7012500016))"
"POLYGON ((-749139.7065217382 -1048003.7012500016, -747663.5678260861 -1048003.7012500016, -747663.5678260861 -1049545.9725000015, -749139.7065217382 -1049545.9725000015, -749139.7065217382 -1048003.7012500016))"
"POLYGON ((-747663.5678260861 -1048003.7012500016, -746187.4291304341 -1048003.7012500016, -746187.4291304341 -1049545.9725000015, -747663.5678260861 -1049545.9725000015, -747663.5678260861 -1048003.7012500016))"
"POLYGON ((-746187.4291304341 -1048003.7012500016, -744711.2904347819 -1048003.7012500016, -744711.2904347819 -1049545.9725000015, -746187.4291304341 -1049545.9725000015, -746187.4291304341 -1048003.7012500016))"
"POLYGON ((-744711.2904347819 -1048003.7012500016, -743235.1517391299 -1048003.7012500016, -743235.1517391299 -1049545.9725000015, -744711.2904347819 -1049545.9725000015, -744711.2904347819 -1048003.7012500016))"
"POLYGON ((-743235.1517391299 -1048003.7012500016, -741759.0130434778 -1048003.7012500016, -741759.0130434778 -1049545.9725000015, -743235.1517391299 -1049545.9725000015, -743235.1517391299 -1048003.7012500016))"
"POLYGON ((-741759.0130434778 -1048003.7012500016, -740282.8743478258 -1048003.7012500016, -740282.8743478258 -1049545.9725000015, -741759.0130434778 -1049545.9725000015, -741759.0130434778 -1048003.7012500016))"
"POLYGON ((-740282.8743478258 -1048003.7012500016, -738806.7356521736 -1048003.7012500016, -738806.7356521736 -1049545.9725000015, -740282.8743478258 -1049545.9725000015, -740282.8743478258 -1048003.7012500016))"
"POLYGON ((-738806.7356521736 -1048003.7012500016, -737330.5969565216 -1048003.7012500016, -737330.5969565216 -1049545.9725000015, -738806.7356521736 -1049545.9725000015, -738806.7356521736 -1048003.7012500016))"
"POLYGON ((-737330.5969565216 -1048003.7012500016, -735854.4582608695 -1048003.7012500016, -735854.4582608695 -1049545.9725000015, -737330.5969565216 -1049545.9725000015, -737330.5969565216 -1048003.7012500016))"
